flag_row,repository,project,antipattern,relative_path,line_from,line_to,source_role,source_sha256,source_file_exists,in_source_manifest,source_frame_status,span_in_bounds,fragment_alignment,fragment_found_in_source_file
22,66xc1/lazy-punch,66xc1_lazy-punch,ID Required,src/main/java/com/punch/entity/tables/SysUser.java,54,54,generated schema,36826d632fa9a84b283e0f7ccab92429368018684512ff1c05769c57034b4572,true,true,src,true,trimmed_exact,true
23,66xc1/lazy-punch,66xc1_lazy-punch,Implicit Columns,src/main/java/com/punch/service/impl/LoginServiceImpl.java,36,36,application/query source,4a108fa00635baa374667ed409fd490153fc29e3091b50e356797f1c1247d2e1,true,true,src,true,trimmed_exact,true
24,66xc1/lazy-punch,66xc1_lazy-punch,Implicit Columns,src/main/java/com/punch/service/impl/LoginServiceImpl.java,54,54,application/query source,4a108fa00635baa374667ed409fd490153fc29e3091b50e356797f1c1247d2e1,true,true,src,true,trimmed_exact,true
25,66xc1/lazy-punch,66xc1_lazy-punch,Implicit Columns,src/main/java/com/punch/service/impl/PunchServiceImpl.java,70,70,application/query source,976e3c81ac0e76d2bbe3089bb83f0bd9bfbf2ea49a653224b81f77cb38badc82,true,true,src,true,trimmed_exact,true
26,66xc1/lazy-punch,66xc1_lazy-punch,Implicit Columns,src/main/java/com/punch/service/impl/UserServiceImpl.java,178,178,application/query source,8ff9d0015457f1dbc8bc55939dbb854e6120bb624dc4eace4d06b3f01d22f59a,true,true,src,true,trimmed_exact,true
27,66xc1/lazy-punch,66xc1_lazy-punch,Implicit Columns,src/main/java/com/punch/task/JobTask.java,52,52,application/query source,1fdc180a5b9ee3a4652c255cf803d03631848b3c2ce536352ab61bd5eb6d49c5,true,true,src,true,trimmed_exact,true
28,ABCLV/ABLV_IngSW,ABCLV_ABLV_IngSW,ID Required,ABLV_IngSW/src/generated/dbconSQLJOOQ/generated/tables/Campogara.java,55,55,generated schema,eef82782b6d245d0206e3ba45320a24a69e6446cd5f9040a5167dfe878840dbb,true,true,src,true,trimmed_exact,true
29,ABCLV/ABLV_IngSW,ABCLV_ABLV_IngSW,ID Required,ABLV_IngSW/src/generated/dbconSQLJOOQ/generated/tables/Contratto.java,58,58,generated schema,da1215e0ae8a8eac87d1d8fc8ef5ecf5141bcaf64ef70921f4482e6d3d23e69b,true,true,src,true,trimmed_exact,true
30,ABCLV/ABLV_IngSW,ABCLV_ABLV_IngSW,Keyless Entry,ABLV_IngSW/src/generated/dbconSQLJOOQ/generated/tables/Gara.java,118,118,generated schema,edd05026742f43eb98a85a4b82c1d96f076a3f4a474531ec8452569e2568ef73,true,true,src,true,trimmed_exact,true
31,ABCLV/ABLV_IngSW,ABCLV_ABLV_IngSW,ID Required,ABLV_IngSW/src/generated/dbconSQLJOOQ/generated/tables/Iscrive.java,58,58,generated schema,cfc26b85fbf0f4de8f2dcedbe6ba865ee156bb1c204b1f031187828720521482,true,true,src,true,trimmed_exact,true
32,ABCLV/ABLV_IngSW,ABCLV_ABLV_IngSW,ID Required,ABLV_IngSW/src/generated/dbconSQLJOOQ/generated/tables/Recensisce.java,57,57,generated schema,3fe783ed400cc8fbcd6ef0c310cf7e304b9f652effb0b452992bbbb788198df6,true,true,src,true,trimmed_exact,true
33,ABCLV/ABLV_IngSW,ABCLV_ABLV_IngSW,ID Required,ABLV_IngSW/src/generated/dbconSQLJOOQ/generated/tables/Sede.java,55,55,generated schema,026c41df5b82b52a5c772f3dd9f04b53f19aece07a7052edd1cb3da03cf57250,true,true,src,true,trimmed_exact,true
34,ABCLV/ABLV_IngSW,ABCLV_ABLV_IngSW,Fear of the Unknown,ABLV_IngSW/src/generated/dbconSQLJOOQ/generated/tables/Settore.java,62,62,generated schema,3ec9b1c76d9925b524174126ca2cbead77f077e6ed0186832ed166c216c65510,true,true,src,true,trimmed_exact,true
35,ABCLV/ABLV_IngSW,ABCLV_ABLV_IngSW,Fear of the Unknown,ABLV_IngSW/src/generated/dbconSQLJOOQ/generated/tables/Settore.java,67,67,generated schema,3ec9b1c76d9925b524174126ca2cbead77f077e6ed0186832ed166c216c65510,true,true,src,true,trimmed_exact,true
36,ABCLV/ABLV_IngSW,ABCLV_ABLV_IngSW,Fear of the Unknown,ABLV_IngSW/src/generated/dbconSQLJOOQ/generated/tables/Turno.java,67,67,generated schema,b2386b8167e077027c01edc7a00c25cf850c4b06f71acfe0085e8278a1dce7be,true,true,src,true,trimmed_exact,true
37,ABCLV/ABLV_IngSW,ABCLV_ABLV_IngSW,Implicit Columns,ABLV_IngSW/src/main/java/database/Consultazioni.java,60,60,application/query source,a47c8eb38ec44be96fef4ccd863fa3f60e83b81284a9dbac3b19b56e150652e7,true,true,src,true,trimmed_exact,true
38,ABCLV/ABLV_IngSW,ABCLV_ABLV_IngSW,Implicit Columns,ABLV_IngSW/src/main/java/database/Consultazioni.java,138,138,application/query source,a47c8eb38ec44be96fef4ccd863fa3f60e83b81284a9dbac3b19b56e150652e7,true,true,src,true,source_span_within_archived_fragment,true
39,APSfurizon/fz-backend,APSfurizon_fz-backend,Implicit Columns,application/src/main/java/net/furizon/backend/feature/membership/finder/JooqPersonalInfoFinder.java,72,73,application/query source,edf0fae16a2a0380d11873b1ef547604991172a1c648e025aa0e368f3a4f018d,true,true,src,true,source_span_within_archived_fragment,true
40,APSfurizon/fz-backend,APSfurizon_fz-backend,Poor Man's Search Engine,application/src/main/java/net/furizon/backend/feature/user/finder/JooqUserFinder.java,155,160,application/query source,be3a522d29e68430040891801e867a3f905ce57fcb7d1fbf259558704a6176fc,true,true,src,true,whitespace_normalized_exact,true
41,APSfurizon/fz-backend,APSfurizon_fz-backend,Poor Man's Search Engine,application/src/main/java/net/furizon/backend/feature/user/finder/JooqUserFinder.java,162,163,application/query source,be3a522d29e68430040891801e867a3f905ce57fcb7d1fbf259558704a6176fc,true,true,src,true,whitespace_normalized_exact,true
42,APSfurizon/fz-backend,APSfurizon_fz-backend,Poor Man's Search Engine,application/src/main/java/net/furizon/backend/feature/user/finder/JooqUserFinder.java,172,173,application/query source,be3a522d29e68430040891801e867a3f905ce57fcb7d1fbf259558704a6176fc,true,true,src,true,whitespace_normalized_exact,true
43,APSfurizon/fz-backend,APSfurizon_fz-backend,Implicit Columns,application/src/main/java/net/furizon/backend/feature/user/finder/JooqUserFinder.java,298,298,application/query source,be3a522d29e68430040891801e867a3f905ce57fcb7d1fbf259558704a6176fc,true,true,src,true,trimmed_exact,true
44,APSfurizon/fz-backend,APSfurizon_fz-backend,Fear of the Unknown,jooq-common/src/main/java/net/furizon/jooq/generated/tables/Authentications.java,88,88,generated schema,83bd1da39c25949e6fe2511862bc477c1fa294c0b8c36e0a480d9b463aefa9ed,true,true,src,true,trimmed_exact,true
45,APSfurizon/fz-backend,APSfurizon_fz-backend,ID Required,jooq-common/src/main/java/net/furizon/jooq/generated/tables/Events.java,80,80,generated schema,aca273463948cd369f7cb8cf3bb864b60339ecd473337c89d0e7da5e6538deee,true,true,src,true,trimmed_exact,true
46,APSfurizon/fz-backend,APSfurizon_fz-backend,ID Required,jooq-common/src/main/java/net/furizon/jooq/generated/tables/MembershipInfo.java,78,78,generated schema,84fc5aa335053d71c6b557926843ef1deb8193f0e3414d001459cd784bc415fe,true,true,src,true,trimmed_exact,true
47,APSfurizon/fz-backend,APSfurizon_fz-backend,31 Flavors,jooq-common/src/main/java/net/furizon/jooq/generated/tables/MembershipInfo.java,183,183,generated schema,84fc5aa335053d71c6b557926843ef1deb8193f0e3414d001459cd784bc415fe,true,true,src,true,trimmed_exact,true
48,APSfurizon/fz-backend,APSfurizon_fz-backend,31 Flavors,jooq-common/src/main/java/net/furizon/jooq/generated/tables/MembershipInfo.java,198,198,generated schema,84fc5aa335053d71c6b557926843ef1deb8193f0e3414d001459cd784bc415fe,true,true,src,true,trimmed_exact,true
49,APSfurizon/fz-backend,APSfurizon_fz-backend,ID Required,jooq-common/src/main/java/net/furizon/jooq/generated/tables/Orders.java,80,80,generated schema,377aa131c9d553b8411959aa4ff0fc84c333d20adc30ff8734a89366bcea052f,true,true,src,true,trimmed_exact,true
50,APSfurizon/fz-backend,APSfurizon_fz-backend,ID Required,jooq-common/src/main/java/net/furizon/jooq/generated/tables/Roles.java,74,74,generated schema,3ff01d5a72d14ad094f02d6c090f5744c901deea6f2dd32a941e0feb624efc02,true,true,src,true,trimmed_exact,true
51,APSfurizon/fz-backend,APSfurizon_fz-backend,ID Required,jooq-common/src/main/java/net/furizon/jooq/generated/tables/RoomGuests.java,73,73,generated schema,1abc87df278727816884f55e8eb537336238f28a67625b41f5f65f029492ab67,true,true,src,true,trimmed_exact,true
52,APSfurizon/fz-backend,APSfurizon_fz-backend,ID Required,jooq-common/src/main/java/net/furizon/jooq/generated/tables/Sessions.java,71,71,generated schema,60eda40f02e4e92d2132fce56ebbc3aaf12f07a66cdb470aeab6ce6b583fe57d,true,true,src,true,trimmed_exact,true
53,APSfurizon/fz-backend,APSfurizon_fz-backend,Keyless Entry,jooq-common/src/main/java/net/furizon/jooq/generated/tables/Sessions.java,91,91,generated schema,60eda40f02e4e92d2132fce56ebbc3aaf12f07a66cdb470aeab6ce6b583fe57d,true,true,src,true,trimmed_exact,true
54,APSfurizon/fz-backend,APSfurizon_fz-backend,Fear of the Unknown,jooq-common/src/main/java/net/furizon/jooq/generated/tables/Users.java,92,92,generated schema,c644b4c2b488e1fdf5dfdf4824f1243eaaa477528d48e3c32bf80a57e1776f13,true,true,src,true,trimmed_exact,true
55,AWS-Cloud-Community-LPU/mailing-service,AWS-Cloud-Community-LPU_mailing-service,ID Required,src/main/java/com/awscclpu/mailingservice/jooq/tables/Users.java,64,64,generated schema,3423aeb2d7f60528b4ed5d82bdb0d5ca8275b32bb1ea36547528f2c7c6a883c9,true,true,src,true,trimmed_exact,true
56,AWS-Cloud-Community-LPU/mailing-service,AWS-Cloud-Community-LPU_mailing-service,Implicit Columns,src/main/java/com/awscclpu/mailingservice/repository/UserRepository.java,19,19,application/query source,7339a86ea6982a1f371fd7f9f1a603f9a387a6171b202cd57ad2243417d078ae,true,true,src,true,trimmed_exact,true
57,AffectedArc07/ParaUtil,AffectedArc07_ParaUtil,Fear of the Unknown,ParaUtil.Database/src/me/aa07/parautil/database/tables/LinkedAccounts.java,66,66,generated schema,47a6cb03a4a10934b55e55b27842a04453cf2c4f32f77ed36bd8bc8d637c5723,true,true,src,true,trimmed_exact,true
58,AffectedArc07/ParaUtil,AffectedArc07_ParaUtil,Keyless Entry,ParaUtil.Database/src/me/aa07/parautil/database/tables/LinkTokens.java,62,62,generated schema,1bd6ed7ef7ab09b4b431c7e658a27b4e5cd7ce9ec4c5647dd752e6dd518f8b4d,true,true,src,true,trimmed_exact,true
59,AffectedArc07/ParaUtil,AffectedArc07_ParaUtil,Implicit Columns,ParaUtil.Spigot/src/me/aa07/parautil/spigot/commands/ParaUtilCommand.java,126,126,application/query source,89e368b3b06954167f136f39b8b3c9edf4e439bc550654f4e3b5466008c698f6,true,true,src,true,trimmed_exact,true
60,AffectedArc07/ParaUtil,AffectedArc07_ParaUtil,Implicit Columns,ParaUtil.Spigot/src/me/aa07/parautil/spigot/login/LoginManager.java,105,105,application/query source,9b5207eeebd2e38979248d8c45565374ee98cabac265aab30306f4ff167d3baf,true,true,src,true,trimmed_exact,true
61,AffectedArc07/ParaUtil,AffectedArc07_ParaUtil,Implicit Columns,ParaUtil.Spigot/src/me/aa07/parautil/spigot/login/LoginManager.java,211,211,application/query source,9b5207eeebd2e38979248d8c45565374ee98cabac265aab30306f4ff167d3baf,true,true,src,true,trimmed_exact,true
62,AffectedArc07/ParaUtil,AffectedArc07_ParaUtil,Implicit Columns,ParaUtil.Spigot/src/me/aa07/parautil/spigot/login/LoginManager.java,239,239,application/query source,9b5207eeebd2e38979248d8c45565374ee98cabac265aab30306f4ff167d3baf,true,true,src,true,trimmed_exact,true
63,AisleiAvila/empresa,AisleiAvila_empresa,Implicit Columns,src/main/java/com/dasad/empresa/repository/EnderecoRepositoryImpl.java,22,22,application/query source,87f53cc72ad09ff610756d56bf3be334811de0ba048b7f88356338e40fca78c0,true,true,src,true,archived_fragment_within_span,true
64,AisleiAvila/empresa,AisleiAvila_empresa,Implicit Columns,src/main/java/com/dasad/empresa/repository/EnderecoRepositoryImpl.java,26,26,application/query source,87f53cc72ad09ff610756d56bf3be334811de0ba048b7f88356338e40fca78c0,true,true,src,true,archived_fragment_within_span,true
65,AisleiAvila/empresa,AisleiAvila_empresa,Implicit Columns,src/main/java/com/dasad/empresa/repository/PerfilRepositoryImpl.java,25,25,application/query source,adcaa4f911e64edf9e0d1e2e986794536e33e9b604d347b03722c41bee401a16,true,true,src,true,archived_fragment_within_span,true
66,AisleiAvila/empresa,AisleiAvila_empresa,Poor Man's Search Engine,src/main/java/com/dasad/empresa/repository/query/UnidadeFederativaQueryBuilder.java,25,25,application/query source,65265ad9796ba16a268b9f70b63bddb889218bdd1c2268128427816244e57b72,true,true,src,true,trimmed_exact,true
67,AisleiAvila/empresa,AisleiAvila_empresa,Poor Man's Search Engine,src/main/java/com/dasad/empresa/repository/query/UnidadeFederativaQueryBuilder.java,32,32,application/query source,65265ad9796ba16a268b9f70b63bddb889218bdd1c2268128427816244e57b72,true,true,src,true,trimmed_exact,true
68,AisleiAvila/empresa,AisleiAvila_empresa,Poor Man's Search Engine,src/main/java/com/dasad/empresa/repository/query/UsuarioQueryBuilder.java,61,61,application/query source,06214dab87f5f7a949b304d7cd4478ce9d456b46082c5692f930c8ce3abc0aa6,true,true,src,true,trimmed_exact,true
69,AisleiAvila/empresa,AisleiAvila_empresa,Poor Man's Search Engine,src/main/java/com/dasad/empresa/repository/query/UsuarioQueryBuilder.java,68,68,application/query source,06214dab87f5f7a949b304d7cd4478ce9d456b46082c5692f930c8ce3abc0aa6,true,true,src,true,trimmed_exact,true
70,AisleiAvila/empresa,AisleiAvila_empresa,Implicit Columns,src/main/java/com/dasad/empresa/repository/UsuarioRepositoryImpl.java,137,137,application/query source,6eaed8c0cfdd756f1229ed61b22ee4a59f44e40076c16637efdd044be5259150,true,true,src,true,archived_fragment_within_span,true
71,AisleiAvila/empresa,AisleiAvila_empresa,Implicit Columns,src/main/java/com/dasad/empresa/repository/UsuarioRepositoryImpl.java,241,241,application/query source,6eaed8c0cfdd756f1229ed61b22ee4a59f44e40076c16637efdd044be5259150,true,true,src,true,archived_fragment_within_span,true
72,AisleiAvila/empresa,AisleiAvila_empresa,ID Required,target/generated-sources/jooq/com/dasad/empresa/jooq/tables/Endereco.java,64,64,generated schema,aa230c7fb20c1c72263f9e9904da423c306e5659c330b5e1a6871538496dd092,true,true,target/generated-sources,true,trimmed_exact,true
73,AisleiAvila/empresa,AisleiAvila_empresa,ID Required,target/generated-sources/jooq/com/dasad/empresa/jooq/tables/ItensPedidos.java,64,64,generated schema,85fa2e0aaaf8ec62ad0cf02c6f65ee7b2c587a017c401281bce959e2c015e33f,true,true,target/generated-sources,true,trimmed_exact,true
74,AisleiAvila/empresa,AisleiAvila_empresa,ID Required,target/generated-sources/jooq/com/dasad/empresa/jooq/tables/Pedidos.java,62,62,generated schema,98bef8f008e2ac47fbb54a8c84ad8737a48de4cdea12f455ce8c0cab1c6e693d,true,true,target/generated-sources,true,trimmed_exact,true
75,AisleiAvila/empresa,AisleiAvila_empresa,ID Required,target/generated-sources/jooq/com/dasad/empresa/jooq/tables/PerfilModel.java,56,56,generated schema,ad3d0c6c6b364d32ed531436d0e468696d50716b8124d4c4969647805763dc3b,true,true,target/generated-sources,true,trimmed_exact,true
76,AisleiAvila/empresa,AisleiAvila_empresa,ID Required,target/generated-sources/jooq/com/dasad/empresa/jooq/tables/Perfis.java,62,62,generated schema,46ed2d8dbbb488634d28ab273506719b4a5fce7a758dc34f0499ea2b7c93a6e4,true,true,target/generated-sources,true,trimmed_exact,true
77,AisleiAvila/empresa,AisleiAvila_empresa,ID Required,target/generated-sources/jooq/com/dasad/empresa/jooq/tables/UnidadeFederativa.java,61,61,generated schema,36ea60410ee861ccb69b940cef1fd75c73409a58c2f05599bd095ad557f7fa53,true,true,target/generated-sources,true,trimmed_exact,true
78,AisleiAvila/empresa,AisleiAvila_empresa,ID Required,target/generated-sources/jooq/com/dasad/empresa/jooq/tables/Usuario.java,65,65,generated schema,281a4fbaefecee31abfd970e6f401602615d64efa366c9e15bbe6454c9918ccc,true,true,target/generated-sources,true,trimmed_exact,true
79,AkaLrz/E-commercial-Platfrom,AkaLrz_E-commercial-Platfrom,Implicit Columns,commodity-app/src/main/java/com/skillup/infrastructure/repolmpl/JooqCommodityRepo.java,23,23,application/query source,94597a90a7d641f9dc9adacd81c2c501fd485d400a819a396a80cbbc83d3af8a,true,true,src,true,trimmed_exact,true
80,AkaLrz/E-commercial-Platfrom,AkaLrz_E-commercial-Platfrom,Implicit Columns,order-app1/src/main/java/com/skillup/infrastructure/repolmpl/JooqOrderRepo.java,29,29,application/query source,bcff7cc5a24944d0ccfc56dd9243bdb47611e468ebc345864b55e03104613042,true,true,src,true,archived_fragment_within_span,true
81,AkaLrz/E-commercial-Platfrom,AkaLrz_E-commercial-Platfrom,Keyless Entry,promotion-app/src/main/java/com/skillup/infrastructure/jooq/tables/Promotion.java,66,66,generated schema,306a8cc9c4f3695b860a0b5d80ce20aecea43e0f42284161a1cd4e75e24a51be,true,true,src,true,trimmed_exact,true
82,AkaLrz/E-commercial-Platfrom,AkaLrz_E-commercial-Platfrom,Keyless Entry,promotion-app/src/main/java/com/skillup/infrastructure/jooq/tables/PromotionLog.java,66,66,generated schema,75ecc90bc5997e90ca25de488913069a84c518fa6c82fe1e65f16bf9a5967590,true,true,src,true,trimmed_exact,true
83,AkaLrz/E-commercial-Platfrom,AkaLrz_E-commercial-Platfrom,Implicit Columns,promotion-app/src/main/java/com/skillup/infrastructure/repolmpl/JooqPromotionRepo.java,31,31,application/query source,2d162ed631ffdc0d81d210041604c479f2eb1cefaa7ef96cb27b34a17fb21592,true,true,src,true,archived_fragment_within_span,true
84,AkaLrz/E-commercial-Platfrom,AkaLrz_E-commercial-Platfrom,Implicit Columns,promotion-app/src/main/java/com/skillup/infrastructure/repolmpl/JooqPromotionRepo.java,37,37,application/query source,2d162ed631ffdc0d81d210041604c479f2eb1cefaa7ef96cb27b34a17fb21592,true,true,src,true,archived_fragment_within_span,true
85,AkaLrz/E-commercial-Platfrom,AkaLrz_E-commercial-Platfrom,ID Required,user-app/src/main/java/com/skillup/infrastructure/jooq/tables/User.java,53,53,generated schema,b75b289e53dd58c76a58195e6e130311abed74c396288c381f19991bfa951b86,true,true,src,true,trimmed_exact,true
86,AkaLrz/E-commercial-Platfrom,AkaLrz_E-commercial-Platfrom,Implicit Columns,user-app/src/main/java/com/skillup/infrastructure/repolmpl/JooqUserRepo.java,34,34,application/query source,e334c883c9065572df9510c75033dbb601ac3e6132a7c754d59d0b144ea812c1,true,true,src,true,archived_fragment_within_span,true
87,AkaLrz/E-commercial-Platfrom,AkaLrz_E-commercial-Platfrom,Implicit Columns,user-app/src/main/java/com/skillup/infrastructure/repolmpl/JooqUserRepo.java,40,40,application/query source,e334c883c9065572df9510c75033dbb601ac3e6132a7c754d59d0b144ea812c1,true,true,src,true,archived_fragment_within_span,true
88,AlexSpeal/Tracking-Bot,AlexSpeal_Tracking-Bot,Implicit Columns,scrapper/src/main/java/edu/java/domain/implementations/jooq/repository/JooqChatLinkRepository.java,35,35,application/query source,1c3b8398c0ab2d325d266dbe81f000f20a2e788b2b094ee34e5821461a3cfc11,true,true,src,true,trimmed_exact,true
89,AlexSpeal/Tracking-Bot,AlexSpeal_Tracking-Bot,Implicit Columns,scrapper/src/main/java/edu/java/domain/implementations/jooq/repository/JooqChatLinkRepository.java,41,41,application/query source,1c3b8398c0ab2d325d266dbe81f000f20a2e788b2b094ee34e5821461a3cfc11,true,true,src,true,trimmed_exact,true
90,AlexSpeal/Tracking-Bot,AlexSpeal_Tracking-Bot,Implicit Columns,scrapper/src/main/java/edu/java/domain/implementations/jooq/repository/JooqChatLinkRepository.java,49,49,application/query source,1c3b8398c0ab2d325d266dbe81f000f20a2e788b2b094ee34e5821461a3cfc11,true,true,src,true,trimmed_exact,true
91,AlexSpeal/Tracking-Bot,AlexSpeal_Tracking-Bot,Implicit Columns,scrapper/src/main/java/edu/java/domain/implementations/jooq/repository/JooqChatRepository.java,51,51,application/query source,6404dc4022896794426ce8b94aa0b52643810739fc6d1dd411ba1ded09023f15,true,true,src,true,archived_fragment_within_span,true
92,AlexSpeal/Tracking-Bot,AlexSpeal_Tracking-Bot,Implicit Columns,scrapper/src/main/java/edu/java/domain/implementations/jooq/repository/JooqLinkRepository.java,35,35,application/query source,3f1be22a6a1b1531e4da9607d9b2b0dffbca6598b1d2fff633e782ee8d816333,true,true,src,true,archived_fragment_within_span,true
